Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
TSPYL2	8,8E-02	+?--++-	2,2E-28	-?-----	4,5E-13	-?+++++	cg17959821	-6,1	7,0E-10	101	4
NET1	3,6E-06	-------	2,6E-24	--+----	6,6E-33	-++++++	cg25310700	-7,8	4,8E-15	104	15
IGIP	7,9E-06	-------	4,8E-41	-------	9,5E-17	+++-+++	cg00450651	-7,1	8,0E-13	138	4
CXCL16	1,4E-10	+++++++	7,1E-32	-------	1,1E-40	-------	cg23123250	8,8	5,6E-19	273	15
PPAN	5,6E-02	+-----+	5,4E-11	-------	3,1E-09	+++-+++	cg06655349	-4,4	5,5E-06	231	2
PLEKHF1	2,7E-04	-++++-+	1,2E-40	-------	2,1E-51	-------	cg14773694	10,0	8,0E-24	98	25
TOMM20	1,0E-07	-----?-	2,8E-32	-----?-	1,6E-15	+++++?+	cg05926640	-6,6	2,0E-11	95	6
RCN2	2,8E-07	+------	7,4E-26	-++++++	5,2E-10	-------	cg10577241	-5,4	4,4E-08	62	4
UBE2F	8,1E-06	-++++++	1,2E-23	-------	4,4E-04	-----+-	cg20002901	3,3	4,5E-04	205	0
RPS20	8,8E-06	-----+-	1,2E-32	+------	1,1E-18	++++++-	cg23139584	-7,1	6,8E-13	82	2
PNN	6,8E-11	-------	6,5E-08	+------	3,4E-07	+++-++-	cg13277939	-3,7	1,0E-04	61	2
C12orf75	8,8E-02	++-+?-+	2,6E-06	++++?+-	2,3E-47	++++?++	cg14918927	4,5	4,0E-06	75	6
ADCY9	2,1E-02	++-+?++	1,3E-41	----?--	1,2E-15	----?--	cg10123654	6,9	2,8E-12	237	5
NUP88	8,3E-08	------+	5,0E-05	+----+-	4,1E-21	+-+++++	cg19060895	-3,7	9,8E-05	109	2
FAM126B	3,3E-03	-++++--	2,6E-64	-------	6,2E-07	++----+	cg08267148	4,8	8,7E-07	134	1
LIG1	3,8E-07	+------	1,4E-13	-------	7,4E-32	+++++++	cg24030173	-6,3	2,0E-10	134	6
VNN1	2,1E-02	-++++-+	6,8E-11	+------	4,6E-147	-------	cg24964103	6,3	1,2E-10	82	3
CPM	3,2E-03	++++++-	2,9E-27	-------	1,2E-04	+------	cg02266731	3,6	1,5E-04	61	1
ADAMTSL4	8,1E-02	+++++?+	5,8E-15	-----?+	2,7E-08	-----?-	cg14037218	4,5	3,0E-06	128	2
ADHFE1	2,2E-02	++-+++-	2,0E-40	-------	2,9E-24	------+	cg00007076	8,1	3,3E-16	104	8
WDFY2	2,0E-05	++++++-	1,1E-11	-----+-	3,4E-13	+------	cg26776551	5,0	3,4E-07	103	3
C22orf32	4,6E-08	-------	4,2E-37	-------	2,2E-21	+-+++++	cg26581503	-7,6	1,4E-14	166	6
AGFG1	2,6E-02	-+++--+	4,1E-08	-------	6,0E-03	+-----+	cg07050827	2,5	7,0E-03	48	0
TRMT5	4,7E-03	--++---	8,9E-06	+--+-+-	1,3E-10	+++++++	cg00789960	-3,7	1,3E-04	51	1
GRAMD3	8,4E-02	+--++--	1,4E-46	+++++++	2,7E-11	-------	cg02730804	-6,0	7,6E-10	52	1
LUC7L3	1,5E-06	-------	7,6E-42	-------	1,2E-04	+++++++	cg20433386	-3,7	1,1E-04	232	1
KLF4	6,2E-06	+++++++	2,6E-28	-------	1,9E-05	-+-----	cg13514049	4,0	3,4E-05	34	1
SNRPF	7,8E-07	-------	2,9E-06	++---+-	5,1E-25	+++-+++	cg22491680	-4,3	1,0E-05	85	1
LOXL3	5,4E-03	++++-++	5,1E-08	+----+-	5,4E-15	-------	cg22989958	4,5	3,9E-06	242	4
PARM1	3,3E-06	-----+-	1,6E-09	++++++-	1,8E-02	----+++	cg17757055	-2,2	1,4E-02	27	0
UBAP2	1,1E-01	+--?+--	6,5E-08	---?-++	1,3E-04	+++?+++	cg01928779	-3,1	9,0E-04	36	1
PLXDC2	3,6E-06	-++++-+	6,6E-09	+------	8,5E-19	-------	cg20130744	4,9	6,1E-07	29	1
DEFA4	1,7E-07	-++++++	2,0E-10	+------	4,6E-05	------+	cg07089660	3,4	3,0E-04	60	2
CYP1B1	3,1E-04	+-++++-	6,9E-13	+------	2,8E-28	-------	cg27141474	6,0	8,9E-10	75	4
PCBD1	1,7E-04	+++++++	9,8E-26	-------	1,6E-09	-------	cg02598564	5,2	8,4E-08	56	2
PGD	2,6E-05	+++++?+	3,0E-14	+----?-	1,4E-25	---+-?-	cg06829969	6,1	4,0E-10	187	12
WDR74	2,7E-07	-------	6,3E-15	+----+-	1,7E-38	+-+-+++	cg21702188	-6,7	1,2E-11	361	13
HNRNPH3	1,0E-05	------?	8,3E-03	--+---?	1,3E-01	-++++-?	ch.10.69843199R	-1,3	9,7E-02	96	0
PPAPDC1B	1,1E-04	-----+-	3,8E-43	-------	9,8E-08	+-+-+++	cg23782083	-5,0	3,3E-07	138	5
NFKB1	6,8E-03	+-??+--	1,8E-13	--??---	1,5E-05	++??+++	cg15409712	-3,7	9,6E-05	77	2
YIPF1	5,6E-07	+++++?+	4,1E-18	+----?-	1,9E-24	-----?-	cg21785067	6,6	1,9E-11	103	7
NSUN6	6,2E-03	------+	3,4E-21	+++++++	1,1E-02	---+--+	cg17512380	-2,5	7,2E-03	51	0
CD300C	9,5E-05	+++++++	7,6E-11	+------	3,0E-30	-------	cg03533256	5,7	7,8E-09	169	11
NCEH1	1,1E-02	-+++++-	2,2E-08	-+-----	1,9E-04	-----+-	cg22209929	3,1	9,5E-04	50	1
CXCR6	2,4E-03	------+	3,7E-16	+++++++	1,3E-11	+--+---	cg08450017	-5,2	9,5E-08	77	4
S100A8	3,7E-06	++-++?+	2,2E-38	-----?-	5,1E-17	-----?-	cg22700686	7,0	9,8E-13	138	17
C21orf7	8,4E-03	---?---	4,7E-21	---?---	7,6E-03	+++?+-+	cg00002080	-2,6	5,1E-03	72	0
NARG2	1,9E-02	----??+	1,1E-14	++++??+	1,1E-01	+--+??-	cg02404349	-1,6	5,7E-02	71	0
PEBP1	5,8E-04	---?-+-	2,8E-13	+++?+++	1,4E-37	---?---	cg01785706	-6,4	1,1E-10	84	3
4,2E+04	7,1E-06	---?-+-	8,9E-18	---?--+	2,3E-07	+++?+++	cg04284063	-4,4	4,7E-06	82	4
NKRF	1,8E-04	+?-----	4,9E-09	+?-----	1,1E-11	-?++++-	cg07859138	-4,4	4,7E-06	122	4
C21orf2	5,0E-06	+------	7,4E-14	-------	5,0E-26	+-+-++-	cg23312431	-6,1	5,2E-10	179	4
ST13	4,4E-05	-------	5,2E-24	+------	5,9E-03	+++++-+	cg23558213	-2,7	3,9E-03	75	0
LINC00260	1,1E-05	++++++-	5,6E-40	-------	7,4E-12	-------	cg00762397	6,1	5,9E-10	86	5
NAP1L1	3,8E-06	+----++	1,6E-26	-----+-	1,9E-09	-++++++	cg17130457	-5,2	8,4E-08	52	3
TLR10	8,6E-07	-----++	4,4E-35	-------	2,3E-09	+++++++	cg21199922	-5,4	3,7E-08	62	2
HNRNPA0	7,0E-12	-------	1,4E-08	-----+-	2,5E-30	+++++++	cg09530650	-5,1	1,9E-07	50	4
B3GALT2	9,6E-01	-++-+?-	2,8E-05	+----?+	1,0E-01	+--+-?+	cg02673436	1,5	6,4E-02	63	0
RPUSD4	8,0E-11	-------	4,6E-29	+------	1,4E-56	+++++++	cg02052726	-9,1	3,1E-20	132	6
CECR5	2,8E-12	-------	1,2E-22	-------	1,5E-04	+-+-++-	cg01731685	-3,5	2,1E-04	84	2
DDX31	9,8E-03	-------	1,1E-08	+++++-+	9,3E-06	-------	cg14283140	-3,5	2,3E-04	91	1
MST4	9,7E-05	-?---+-	1,2E-01	+?--++-	9,5E-03	-?+-++-	cg03073000	-1,3	9,1E-02	39	0
BYSL	3,0E-05	+-----+	3,5E-21	-------	1,3E-05	-++++++	cg00975876	-4,0	3,8E-05	160	5
TAGAP	2,5E-03	-++++++	3,2E-06	-++-+++	1,8E-04	+-++++-	cg05915362	2,9	1,8E-03	98	0
TIMM9	3,7E-04	+-----+	3,0E-10	+++++++	2,9E-17	-------	cg02078710	-5,1	2,2E-07	96	4
PRMT6	6,9E-08	-----?-	7,9E-05	-+---?-	3,6E-31	+++++?+	cg00944433	-3,7	9,4E-05	31	1
EPHA4	5,0E-07	+------	1,2E-06	--+----	1,4E-04	+++++++	cg25822369	-3,0	1,4E-03	41	0
NA	8,0E-02	????+??	4,7E-21	????-??	3,1E-07	????-??	NA	4,5	3,4E-06	509	3
EMP1	2,4E-04	++-++++	2,3E-30	-------	4,1E-02	------+	cg21490635	2,0	2,2E-02	68	0
RDH14	1,7E-10	-------	3,5E-02	++-----	7,1E-02	+-+++++	cg23585251	-1,4	8,5E-02	36	0
CNOT7	2,1E-07	-------	1,9E-11	-----+-	2,7E-11	+++-+++	cg17090611	-4,7	1,1E-06	61	1
TSPO	1,1E-08	+++++++	1,1E-45	-------	1,3E-08	+--+---	cg25347941	5,3	6,4E-08	116	4
RPS14	3,1E-05	-------	1,3E-42	-------	9,8E-37	+++++++	cg05004855	-9,3	7,5E-21	170	19
TCTA	5,3E-03	++++-+-	3,1E-04	---+--+	1,9E-02	----+++	cg08226300	2,0	2,5E-02	155	0
FEZ1	1,1E-04	+++++++	1,7E-38	+++++++	3,5E-09	++++++-	cg21565130	5,4	3,8E-08	104	14
LINC00324	7,8E-04	+++++++	5,5E-46	-------	3,1E-05	+------	cg08116113	4,0	3,2E-05	313	1
TUT1	1,1E-03	+-----+	1,3E-14	+----+-	4,8E-23	+++++++	cg21702188	-6,1	6,0E-10	359	7
WBP1L	7,5E-09	+++++++	1,1E-68	-------	1,5E-06	-------	cg00957665	4,6	1,7E-06	138	2
EIF2AK3	5,1E-06	------+	6,0E-65	-------	1,9E-03	-+++++-	cg04928670	-3,1	1,1E-03	69	0
KDSR	1,5E-01	--??-+-	3,5E-21	--??---	5,1E-17	++??++-	cg01056135	-6,3	1,8E-10	77	2
SFXN2	1,9E-05	----?--	3,1E-13	----?--	2,2E-03	-++-?++	cg18661379	-2,8	2,4E-03	132	0
FARSB	8,2E-03	----?-+	5,0E-02	----?--	1,9E-02	++++?+-	cg25947773	-1,5	6,6E-02	59	0
GALNT10	1,5E-05	+++++++	1,5E-23	-------	4,5E-35	-------	cg13924807	7,8	3,8E-15	142	24
PIGN	5,7E-05	+------	1,8E-19	-------	2,3E-02	-++-+++	cg16174779	-2,2	1,4E-02	45	0
ATP5G2	7,3E-05	------+	4,5E-17	-----+-	5,1E-41	++++++-	cg03998264	-7,1	5,4E-13	146	2
MAF	1,2E-07	++++++-	5,5E-38	-------	5,0E-20	-------	cg10405075	7,5	4,1E-14	44	11
ANXA5	1,3E-03	+++++++	1,0E-20	+++++++	1,2E-02	++++++-	cg03248158	2,4	7,5E-03	85	0
ZNF470	5,5E-03	+---+--	1,4E-13	++++++-	5,1E-06	-------	cg26982279	-3,9	5,2E-05	128	5
TCL1A	3,3E-05	---?-+-	3,7E-93	---?---	8,5E-11	+++?+++	cg23919111	-6,2	3,0E-10	73	5
TFAM	1,9E-08	-------	3,9E-03	-+---++	3,3E-03	++++++-	cg25604616	-2,1	2,0E-02	64	0
VAV3	7,3E-01	+++--?+	9,3E-02	+-+--?-	4,7E-01	+-+++?+	cg12727462	-0,7	2,5E-01	45	0
ZMYND19	8,6E-04	-------	1,9E-20	-------	4,1E-09	+-++++-	cg13704911	-5,0	3,4E-07	193	3
LAIR2	1,4E-01	-+-++++	3,8E-18	------+	2,3E-16	-------	cg01449341	6,0	1,2E-09	98	5
VIPR1	5,1E-04	+---+--	8,7E-26	-------	4,9E-28	+++++++	cg03995361	-7,6	1,6E-14	139	20
SOX13	2,8E-05	+++?+?+	9,3E-45	--+?-?-	3,2E-45	---?-?-	cg14218629	10,0	1,2E-23	126	28
SLC9A9	2,1E-06	+++++++	1,3E-19	-------	5,0E-04	-+-----	cg19955019	3,3	5,8E-04	75	1
WDR89	1,8E-01	----??-	7,4E-02	---+??-	3,4E-02	++++??+	cg22884674	-1,4	8,6E-02	57	0
NGDN	3,0E-06	-------	3,4E-29	-------	2,6E-10	+-+-+++	cg22912331	-5,5	1,9E-08	182	4
CTPS2	1,4E-03	-?-----	3,1E-08	-?----+	1,3E-02	+?+++--	cg03426344	-2,3	1,2E-02	92	0
POLR3H	1,5E-02	---?-+-	2,5E-14	---?---	2,3E-13	-++?++-	cg01001791	-5,3	6,4E-08	154	2
ZBED5	3,6E-06	+--?--+	5,9E-46	---?---	2,4E-08	+++?++-	cg26262049	-5,2	1,0E-07	82	3
UBE2D2	2,8E-03	----++-	8,5E-11	+------	5,9E-05	+++-+++	cg18446110	-3,4	3,2E-04	269	0
DOLPP1	7,6E-03	-------	3,6E-11	+----+-	9,8E-11	-++++++	cg04653308	-4,6	1,9E-06	110	3
TSR1	1,3E-02	---+---	3,0E-52	+++++++	7,4E-13	-------	cg06568880	-6,5	4,4E-11	119	7
STX6	4,7E-04	+++++?+	1,3E-14	-----?-	2,8E-05	-+---?-	cg01441127	3,7	1,2E-04	90	3
MCCC1	7,6E-10	---?---	1,5E-12	+++?+++	3,4E-15	---?---	cg15035421	-5,3	7,2E-08	81	4
SEL1L3	1,5E-10	-----+-	6,6E-12	-+-----	4,5E-41	-++++++	cg04349839	-6,1	4,9E-10	71	1
TMEM42	2,9E-08	-------	2,7E-34	-------	1,9E-20	+++++++	cg10324158	-7,4	7,7E-14	137	6
CLEC4E	2,5E-06	-++++-+	3,8E-31	-------	7,8E-25	-------	cg19747195	7,7	6,8E-15	47	4
ST6GALNAC6	5,5E-02	++-++++	6,0E-28	-------	1,4E-34	-------	cg13939204	8,2	1,5E-16	163	15
PARP9	2,6E-08	+++++++	1,3E-11	-------	2,0E-23	---+---	cg14664412	5,6	1,1E-08	108	6
TIMP1	5,7E-08	+?+++++	5,5E-04	+?+++++	4,4E-02	-?++-++	cg10709704	1,7	4,1E-02	113	0
KLHL34	1,3E-02	-?-+-?-	1,4E-05	+?+++?-	9,8E-07	-?---?+	cg21655480	-3,3	5,8E-04	50	1
NA	2,2E-02	????+??	9,1E-15	????+??	5,2E-08	????+??	NA	4,5	4,2E-06	352	7
SH3BP2	1,1E-03	-+++-++	2,9E-07	+-----+	1,9E-05	------+	cg03032552	3,3	5,1E-04	170	0
CLIC1	1,4E-06	++-++++	1,1E-48	-------	1,4E-30	-------	cg09037630	9,1	7,4E-20	1506	34
VRK1	7,2E-05	-------	7,1E-02	-+++-++	2,1E-04	++----+	cg14404842	-1,6	5,2E-02	62	0
S100A12	1,2E-05	+++++?+	2,2E-38	-----?-	1,1E-21	-----?-	cg22700686	7,7	7,1E-15	115	17
GNG2	8,3E-01	++++-++	1,6E-19	--+---+	2,1E-14	-------	cg25584474	5,8	2,7E-09	73	8
FAM53B	2,6E-03	++++-++	1,7E-24	-------	1,6E-21	-------	cg18593374	7,0	1,6E-12	165	22
QPCT	4,3E-04	+++++-+	2,3E-19	+------	3,7E-47	-------	cg19190900	7,6	1,1E-14	70	5
DAP3	2,3E-10	-------	2,3E-66	-------	1,3E-31	++++++-	cg13921921	-9,7	2,0E-22	104	8
NA	2,9E-01	????-??	6,6E-09	????-??	5,4E-06	????+??	NA	-3,6	1,7E-04	175	1
HIST1H3H	2,5E-03	-++?---	7,2E-02	+--?++-	3,5E-04	+--?---	cg01247537	-1,6	5,4E-02	173	0
NA	7,1E-01	????-??	1,4E-03	????-??	3,2E-04	????+??	NA	-2,4	8,5E-03	123	0
SH3BGRL3	8,5E-05	++++-?+	1,6E-38	-----?-	2,5E-07	-----?+	cg04489573	4,8	8,2E-07	227	5
KIAA0319L	8,2E-09	++++??+	9,3E-11	++++??+	6,9E-11	-+++??+	cg10959672	4,6	2,2E-06	126	4
NSG1	1,6E-04	-----+-	1,3E-48	-------	7,1E-24	+++++++	cg08179817	-8,3	5,1E-17	103	4
BNC2	1,0E-01	++++??-	8,5E-04	++++??+	1,4E-01	++-+??+	cg07941680	1,4	8,8E-02	24	0
NLRP12	1,5E-04	+++++-+	1,3E-12	+------	9,8E-24	+------	cg22337438	5,8	3,5E-09	209	2
PIK3CG	1,4E-05	+++++++	1,7E-82	-------	3,8E-02	-------	cg10691109	2,1	2,0E-02	56	0
C3orf62	5,1E-05	-+++++-	5,4E-26	-------	3,0E-31	+------	cg05557266	7,8	2,8E-15	202	6
THBS1	3,4E-05	-++++++	6,0E-18	-------	4,1E-03	----+--	cg17744835	2,7	3,2E-03	72	0
RNMTL1	4,8E-03	---+--+	4,3E-04	++---+-	4,2E-13	+-+++++	cg09245003	-3,2	7,7E-04	243	0
FUT8	2,9E-03	------+	2,7E-04	+++-+-+	2,0E-06	+--+---	cg21221767	-2,9	1,9E-03	37	0
DGKG	6,6E-02	-+-+?++	1,5E-03	+---?--	1,2E-04	----?--	cg00434119	2,5	7,1E-03	112	0
NAA25	1,9E-01	--?----	1,0E-205	--?----	8,3E-06	++?++++	cg19848940	-4,4	5,2E-06	87	2
SLC22A4	2,2E-07	+++++-+	9,5E-54	-------	4,2E-60	-------	cg13948857	11,2	1,5E-29	134	12
DENND1B_	1,4E-06	-++++?-	9,5E-41	+++++?+	4,0E-07	+++++?+	cg05128414	4,7	1,1E-06	80	5
BCL9	1,3E-07	-----?-	1,2E-22	-----?-	4,2E-14	+++++?+	cg07600998	-6,0	1,1E-09	51	6
APLP2	2,4E-04	+++++++	2,9E-14	-----+-	3,0E-27	+--+---	cg27255275	6,2	2,5E-10	151	8
FLVCR2	5,7E-06	+++++++	5,0E-13	-----+-	1,5E-07	+-----+	cg26344619	4,3	1,1E-05	82	3
VOPP1	8,0E-02	++++--+	2,0E-18	------+	2,3E-15	-------	cg05170183	5,9	2,1E-09	80	10
PTPLAD1	3,6E-12	-------	5,4E-11	+----+-	1,5E-17	+++++++	cg01704999	-5,2	1,0E-07	144	2
DYSF	1,2E-04	++?-+-+	5,9E-12	+-?--+-	4,8E-61	--?----	cg21852792	6,4	1,1E-10	96	1
CLPP	2,6E-02	--+----	2,9E-14	+----+-	2,1E-10	+++++++	cg11355029	-4,9	5,5E-07	171	3
RASSF4	1,8E-06	-++++++	5,6E-30	+------	1,2E-05	+----+-	cg11753018	4,1	2,2E-05	93	2
CDC14B	5,5E-09	+++++++	1,3E-35	+++++++	4,2E-12	+++++++	cg14276584	6,1	6,9E-10	65	4
ZNF385A	9,0E-08	+++++++	1,7E-17	+------	1,2E-15	-------	cg12962778	5,8	2,8E-09	190	9
ERCC6L2	8,3E-02	+------	1,0E-04	-++---+	1,4E-01	+-++++-	cg05005332	-1,4	8,4E-02	57	0
TMEM220	3,6E-01	--++?--	1,1E-11	----?--	1,8E-05	++++?++	cg13337413	-3,6	1,4E-04	71	1
CUTA	7,6E-08	-------	6,6E-128	-------	9,5E-27	+++++++	ch.6.33611621F	-9,8	6,8E-23	1264	40
MARCO	6,0E-03	++-++++	3,0E-19	-+++++-	1,6E-02	+++++-+	cg16849609	2,3	1,0E-02	142	0
DLGAP4	7,0E-06	+++++++	6,8E-12	--+----	1,1E-03	--+----	cg12992443	2,9	1,6E-03	133	0
UTP14A	1,2E-03	-?-?---	7,1E-32	-?-?---	4,8E-07	-?+?+++	cg16244634	-4,6	1,8E-06	163	4
AKIRIN2	1,1E-02	+++++++	1,5E-04	--+----	3,4E-04	-+-+---	cg04837020	2,6	4,7E-03	41	0
NOP56	3,2E-06	-------	1,3E-22	-----+-	5,1E-11	+++++++	cg23904377	-5,5	2,5E-08	149	4
TRIM69	1,4E-05	++-++++	6,2E-60	-------	1,9E-30	-------	cg05439368	9,4	3,1E-21	56	7
EXOSC2	3,7E-09	-------	6,0E-25	-------	2,5E-11	+-+++++	cg01120874	-5,6	1,1E-08	117	2
AKAP13	2,6E-07	+++++++	5,4E-13	-----+-	5,0E-16	+------	cg12058064	5,4	3,5E-08	105	4
CSF1R	4,9E-07	+++++++	5,4E-57	-------	6,3E-04	-----+-	cg12862231	3,3	4,2E-04	141	0
ZEB1	2,4E-01	+--??+-	1,8E-04	--+??--	1,2E-01	+++??+-	cg01449674	-1,4	7,5E-02	77	0
PHTF1	2,1E-01	+--++?+	9,5E-07	+----?-	8,3E-15	-----?-	cg01580044	4,1	1,7E-05	92	5
IL18BP	1,1E-06	++++++-	5,8E-152	-------	8,3E-38	-------	cg16385335	11,5	3,9E-31	154	27
BTN3A1	9,5E-04	++++--+	4,4E-38	+++++++	1,3E-11	+++++++	cg16519587	6,0	1,1E-09	272	5
MS4A1	1,8E-11	-------	1,7E-14	+++++++	1,4E-12	------+	cg06806711	-5,2	9,8E-08	49	2
MPHOSPH10	4,6E-08	+------	5,8E-07	-+---+-	8,3E-09	-++-+++	cg07292606	-3,8	8,0E-05	157	1
NOL6	8,6E-07	-------	1,3E-04	+++++++	1,5E-01	+--++--	cg16954458	-1,3	8,9E-02	22	0
HCG27	6,9E-05	-+++++-	5,4E-27	-------	1,1E-18	-------	cg19456997	6,8	4,4E-12	255	6
FBXL5	3,1E-03	-++++--	3,2E-17	+------	9,1E-20	---+---	cg21356631	6,2	3,1E-10	73	4
RPL13AP3	1,3E-05	----?+-	1,3E-05	----?+-	2,1E-21	++++?++	cg25576997	-4,0	3,7E-05	39	1
NA	5,4E-01	????+??	3,1E-29	????-??	6,3E-15	????-??	NA	6,4	7,5E-11	239	9
ADORA2A	3,4E-07	+----+-	2,7E-53	+++++++	3,8E-24	-------	cg26354221	-8,5	1,3E-17	117	14
ABR	1,8E-06	+++++++	2,7E-51	-------	5,9E-16	-------	cg12799029	7,1	5,1E-13	368	5
DPPA4	5,1E-02	-?-+?-?	8,7E-03	-?++?-?	6,6E-04	-?--?-?	cg27326062	-2,1	1,9E-02	34	0
ZNF428	1,4E-03	-------	2,1E-09	+------	4,7E-16	+-+++++	cg13554818	-4,8	7,2E-07	193	3
SRSF5	1,1E-04	-------	2,6E-22	-------	8,9E-21	+++-+++	cg16565031	-6,7	8,1E-12	121	6
TNFSF13B	1,6E-09	-++++++	1,4E-20	-------	4,3E-50	+------	cg09646392	7,9	1,6E-15	40	1
GCNT1	1,3E-02	++++-+-	4,5E-26	--+----	4,9E-03	------+	cg19282250	2,7	3,3E-03	17	0
DRAXIN	1,3E-04	++++??-	9,3E-34	----??-	7,8E-07	----??+	cg19095000	4,6	2,4E-06	187	4
RIOK1	2,7E-04	---?---	1,1E-10	---?---	5,8E-23	+++?+++	cg10471548	-5,4	3,4E-08	105	6
DAAM2	6,7E-03	+++++++	2,5E-06	+------	1,3E-11	---+--+	cg14438453	3,9	5,5E-05	61	1
ZNF830	6,6E-10	-------	5,1E-17	-------	1,1E-02	+-+++++	cg13337740	-2,4	7,7E-03	80	0
BCL6	2,5E-02	+++-+-+	1,7E-28	-----+-	8,3E-67	-------	cg10168494	9,3	5,8E-21	80	6
SLC24A6	1,1E-03	+---+--	5,8E-62	-------	1,8E-42	+++++++	cg05157791	-10,6	2,5E-26	216	46
FXR1	9,3E-07	-------	2,8E-03	----+--	1,8E-01	-+-+--+	cg08962590	-1,2	1,1E-01	43	0
AFG3L2	1,1E-07	------+	1,0E-01	-+---+-	6,9E-08	++++++-	cg11941929	-1,6	6,0E-02	77	0
MRTO4	8,3E-03	-----?+	9,1E-13	+++++?+	2,8E-10	+----?-	cg21417130	-4,7	1,1E-06	133	4
P2RY10	1,0E-07	-?---+-	2,0E-10	-?+----	2,4E-02	+?++--+	cg15844109	-2,1	1,7E-02	13	0
KIAA0922	1,3E-03	----?--	6,0E-20	++++?++	4,5E-14	----?-+	cg01440841	-5,8	2,9E-09	124	25
CTSD	5,3E-06	+++++++	1,1E-21	+------	1,2E-14	-------	cg14600987	6,0	9,5E-10	396	14
KLF12	1,6E-07	-------	4,1E-26	+++++++	5,6E-19	-------	cg12229775	-6,8	4,9E-12	53	5
ANP32B	1,3E-04	-------	1,6E-14	-------	3,4E-24	+++++++	cg14422498	-6,1	4,6E-10	69	4
PNOC	2,3E-07	------+	6,0E-19	++-++++	4,6E-60	-------	cg02046475	-7,8	2,8E-15	85	3
AGPAT2	5,0E-06	+++++++	1,4E-44	-------	1,3E-15	---+---	cg21252105	6,9	1,9E-12	288	17
MAK16	2,0E-07	-------	1,3E-30	-------	1,0E-03	+++++++	cg10886225	-3,2	8,0E-04	76	0
TASP1	1,5E-05	+------	6,9E-07	+++++++	3,1E-02	+------	cg24027320	-2,0	2,4E-02	71	0
RPL28	1,2E-02	---+--+	1,9E-29	-------	5,6E-10	+++++++	cg06462065	-5,4	2,8E-08	376	3
PSAT1	1,4E-03	---++--	3,3E-02	++---+-	1,6E-26	-++++++	cg13740985	-2,1	1,8E-02	16	0
IL15	1,6E-05	+++++++	1,9E-53	-------	2,1E-03	++-----	cg11088672	3,0	1,3E-03	27	1
YTHDF1	1,2E-02	+----++	1,9E-12	-----+-	3,4E-11	+++++++	cg00727912	-4,8	7,0E-07	282	1
MIS12	2,2E-08	-------	5,0E-05	+----+-	7,8E-23	-++++++	cg19060895	-3,8	8,9E-05	78	1
ABCA6	7,8E-03	-+++?--	4,8E-09	+---?--	9,5E-02	+--+?--	cg20561863	1,6	5,5E-02	24	0
EFHD1	2,2E-04	----+?-	9,1E-15	-----?-	4,5E-09	-++++?+	cg17611093	-4,7	1,5E-06	179	8
GAS7	9,7E-06	+++++-+	9,8E-24	-------	6,5E-29	-------	cg03762242	7,5	4,1E-14	109	11
RAB24	3,8E-10	+++++++	4,6E-40	-------	6,3E-53	+------	cg25213720	10,0	6,3E-24	287	16
MAPK1	1,8E-05	-++++-+	8,7E-40	-------	9,8E-28	-------	cg01612629	8,4	2,0E-17	147	8
P2RX1	3,0E-05	+++++++	1,7E-47	-------	1,8E-21	-------	cg23668631	8,0	9,3E-16	216	15
PDCL3	5,2E-06	--??---	4,2E-13	--??-+-	8,3E-18	++??++-	cg10827754	-5,5	1,5E-08	57	1
LPGAT1	8,1E-01	--+--?+	1,5E-06	+-+--?+	1,2E-04	-+++-?-	cg09504092	-3,0	1,3E-03	83	0
NUDT9	1,7E-05	-------	7,6E-15	+------	4,3E-20	+++++++	cg03926751	-5,9	1,5E-09	53	2
UQCC	1,8E-06	------+	9,5E-18	-------	1,0E-23	++++++-	cg23713742	-6,5	3,5E-11	140	3
IL27RA	9,3E-08	+----+-	1,6E-66	-------	2,0E-21	-++++++	cg24704287	-8,3	4,3E-17	253	20
MYL6	2,3E-07	++-++++	3,3E-18	+++++-+	4,6E-11	+++++++	cg25416125	5,3	7,6E-08	301	9
PAK1IP1	2,0E-05	-------	3,4E-46	-------	4,7E-08	+++-++-	cg24690479	-5,1	1,7E-07	91	1
DYNLT1	1,5E-04	-++++++	3,2E-06	-++-+++	1,3E-07	+++-++-	cg05915362	3,5	2,4E-04	118	1
INPPL1	3,0E-04	-++++-+	1,9E-05	+------	1,0E-02	----+--	cg25306006	2,2	1,4E-02	149	0
MAPKAPK3	3,1E-05	+++++++	1,3E-41	-------	1,1E-03	+---+--	cg13519902	3,2	7,7E-04	112	0
EIF4A3	2,1E-03	------+	2,8E-12	-----+-	7,1E-08	-++++++	cg25792439	-4,3	9,9E-06	325	1
FGF9	5,0E-02	+---++-	3,8E-19	++-+++-	8,3E-02	---++-+	cg09972864	-1,7	4,4E-02	81	0
BIVM	4,7E-06	+------	2,2E-06	++---+-	1,8E-06	-+++++-	cg23044680	-3,4	3,9E-04	64	2
ATP5G1	1,3E-06	---+---	2,1E-10	-------	3,9E-05	++--+++	cg27530239	-3,5	2,8E-04	222	0
FAM165B	8,8E-03	---+---	1,1E-25	-------	2,1E-09	-++-++-	cg13707794	-5,2	9,9E-08	44	4
